APMC's,Commodity,Min Price(Price in Rs.),Modal Price(Price in Rs.),Max Price(Price in Rs.)
RISHIKESH,CABBAGE,625,625,625
RISHIKESH,CAULIFLOWER,605,620,620
RISHIKESH,POTATO,800,800,800
RISHIKESH,TOMATO,845,845,845
RISHIKESH,BOTTLE GOURD,825,825,825
RISHIKESH,CAPSICUM,1480,1480,1480
RISHIKESH,CUCUMBER,1500,1500,1500
ROORKEE,PEAS GREEN ,1500,1500,1500
ROORKEE,BRINJAL,500,500,500
ROORKEE,CAPSICUM,800,800,800
ROORKEE,CUCUMBER,1000,1000,1000
ROORKEE,ONION,1500,1500,1500
ROORKEE,TOMATO,800,800,800
ROORKEE,GINGER,2500,2500,2500
ROORKEE,CABBAGE,500,500,500
ROORKEE,CAULIFLOWER,500,500,500
ROORKEE,LEMON,2500,2500,2500
ROORKEE,POTATO,500,600,600
BAGDA KRISHAK BAZAR,BOTTLE GOURD,500,500,500
BAGDA KRISHAK BAZAR,GREEN CHILLI,4000,4000,4000
BAGDA KRISHAK BAZAR,POINTED GOURD (PARWAL),3600,3600,3600
BAGDA KRISHAK BAZAR,BITTER GOURD,2200,2200,2200
BAGDA KRISHAK BAZAR,BRINJAL,4000,4000,4000
BAGDA KRISHAK BAZAR,IVY GOURD (KUNDRU),1700,1700,1700
BAGDA KRISHAK BAZAR,PUMPKIN,1000,1000,1000
BAGDA KRISHAK BAZAR,PAPAYA,3000,3000,3000
BISHNUPUR,BITTER GOURD,2500,2500,2500
BISHNUPUR,CUCUMBER,2800,2800,2800
BISHNUPUR,LADY FINGER,2000,2000,2000
BISHNUPUR,BRINJAL,3500,3500,3500
BISHNUPUR,GREEN CHILLI,3500,3500,3500
BISHNUPUR,POINTED GOURD (PARWAL),4200,4200,4200
DHUPGURI PRINCIPAL MARKET YARD,CABBAGE,300,300,300
DHUPGURI PRINCIPAL MARKET YARD,CAULIFLOWER,900,900,900
DHUPGURI PRINCIPAL MARKET YARD,GREEN CHILLI,1100,1100,1100
DHUPGURI PRINCIPAL MARKET YARD,PUMPKIN,900,900,900
DHUPGURI PRINCIPAL MARKET YARD,BRINJAL,1800,1800,1800
DHUPGURI PRINCIPAL MARKET YARD,CARROT,1800,1800,1800
DHUPGURI PRINCIPAL MARKET YARD,BEANS -CLUSTER,1100,1100,1100
DHUPGURI PRINCIPAL MARKET YARD,POTATO,900,900,900
DHUPGURI PRINCIPAL MARKET YARD,TOMATO,300,300,300
JIYAGANJ KRISHAK BAZAR,LADY FINGER,3000,3000,3000
JIYAGANJ KRISHAK BAZAR,TOMATO,600,600,600
JIYAGANJ KRISHAK BAZAR,BITTER GOURD,3000,3000,3000
JIYAGANJ KRISHAK BAZAR,CUCUMBER,3800,3800,3800
JIYAGANJ KRISHAK BAZAR,GREEN CHILLI,4500,4500,4500
JIYAGANJ KRISHAK BAZAR,POINTED GOURD (PARWAL),3500,3500,3500
JIYAGANJ KRISHAK BAZAR,BRINJAL,3500,3500,3500
JIYAGANJ KRISHAK BAZAR,DRUMSTICK,2000,2000,2000
KARIMPUR SUBMARKET YARD,POINTED GOURD (PARWAL),3520,3520,3520
MOHAMAD BAZAR KRISHAK BAZAR,POTATO,700,700,700
MOHAMAD BAZAR KRISHAK BAZAR,TOMATO,400,400,400
MOHAMAD BAZAR KRISHAK BAZAR,CABBAGE,500,500,500
MOHAMAD BAZAR KRISHAK BAZAR,PUMPKIN,800,800,800
NAKASHIPARA KRISHAK BAZAR,TUBEROSE,1535,1535,1550
NAKASHIPARA KRISHAK BAZAR,MARI GOLD,2540,2540,2600
SAMSHERGANJ KRISHAK BAZAR,ONION,1500,1500,1500
SAMSHERGANJ KRISHAK BAZAR,POTATO,950,950,950
SAMSHERGANJ KRISHAK BAZAR,BRINJAL,3250,3250,3250
SAMSHERGANJ KRISHAK BAZAR,POINTED GOURD (PARWAL),3500,3500,3500
SAMSHERGANJ KRISHAK BAZAR,TOMATO,625,625,625
SAMSI SUB MARKET YARD,WATER MELON,1820,1820,1820
